Graphic,Pos,Word,bio,biose,class,sentence_code
3,NOUN,Fatores,O,O,,0
3,PNOUN,Demográficos,O,O,,0
0,CONJ,e,O,O,,0
3,PNOUN,Econômicos,O,O,,0
3,PNOUN,Subjacentes,O,O,,0
4,DET,A,O,O,,1
0,NOUN,revolta,O,O,,1
0,ADJ,histórica,O,O,,1
0,VERB,produz,O,O,,1
0,ADV,normalmente,O,O,,1
0,DET,uma,O,O,,1
0,ADJ,nova,O,O,,1
0,NOUN,forma,O,O,,1
0,ADP,de,O,O,,1
0,NOUN,pensamento,O,O,,1
0,CONJ,quanto,O,O,,1
0,ADP,à,O,O,,1
0,NOUN,forma,O,O,,1
0,ADP,de,O,O,,1
0,NOUN,organização,O,O,,1
0,ADP,da,O,O,,1
0,NOUN,sociedade,O,O,,1
1,.,.,O,O,,1
3,ADV,Assim,O,O,,2
0,VERB,foi,O,O,,2
0,ADP,com,O,O,,2
0,DET,a,O,O,,2
3,PNOUN,Reforma,B,B,ABSTRACCAO,2
3,PNOUN,Protestante,I,E,ABSTRACCAO,2
1,.,.,O,O,,2
3,ADP,No,O,O,,3
0,NOUN,seguimento,O,O,,3
0,ADP,do,O,O,,3
0,NOUN,colapso,O,O,,3
0,ADP,de,O,O,,3
0,NOUN,instituições,O,O,,3
0,ADJ,monásticas,O,O,,3
0,CONJ,e,O,O,,3
0,ADP,do,O,O,,3
0,NOUN,escolasticismo,O,O,,3
0,ADP,nos,O,O,,3
0,NOUN,finais,O,O,,3
0,ADP,da,O,O,,3
3,PNOUN,Idade,B,B,OUTRO,3
3,PNOUN,Média,I,E,OUTRO,3
0,ADP,na,O,O,,3
3,PNOUN,Europa,B,S,LOCAL,3
1,.,",",O,O,,3
0,VERB,acentuado,O,O,,3
0,ADP,pela,O,O,,3
1,.,"""",O,O,,3
3,NOUN,Cativeiro,O,O,,3
3,ADJ,Babilónica,O,O,,3
0,ADP,da,O,O,,3
0,NOUN,igreja,O,O,,3
1,.,"""",O,O,,3
0,ADP,no,O,O,,3
0,NOUN,papado,O,O,,3
0,ADP,de,O,O,,3
3,PNOUN,Avignon,B,S,ACONTECIMENTO,3
1,.,",",O,O,,3
0,DET,o,O,O,,3
3,PNOUN,Grande,B,B,ACONTECIMENTO,3
3,PNOUN,Cisma,I,E,ACONTECIMENTO,3
0,CONJ,e,O,O,,3
0,DET,o,O,O,,3
0,NOUN,fracasso,O,O,,3
0,ADP,da,O,O,,3
0,NOUN,conciliação,O,O,,3
1,.,",",O,O,,3
0,VERB,assistimos,O,O,,3
0,ADP,no,B,B,TEMPO,3
0,NOUN,século,I,I,TEMPO,3
4,NUM,XVI,I,E,TEMPO,3
0,ADP,ao,O,O,,3
0,NOUN,fermentar,O,O,,3
0,ADP,de,O,O,,3
0,DET,um,O,O,,3
0,ADJ,enorme,O,O,,3
0,NOUN,debate,O,O,,3
0,ADP,sobre,O,O,,3
0,DET,a,O,O,,3
0,NOUN,reforma,O,O,,3
0,ADP,da,O,O,,3
0,NOUN,religião,O,O,,3
0,CONJ,e,O,O,,3
0,ADP,dos,O,O,,3
0,ADJ,posteriores,O,O,,3
0,NOUN,valores,O,O,,3
0,ADJ,religiosos,O,O,,3
0,ADJ,fundamentais,O,O,,3
1,.,.,O,O,,3
3,DET,Este,O,O,,4
0,NOUN,debate,O,O,,4
0,VERB,passou,O,O,,4
0,ADV,completamente,O,O,,4
0,ADP,ao,O,O,,4
0,NOUN,lado,O,O,,4
0,ADP,de,O,O,,4
3,PNOUN,Portugal,B,S,PESSOA,4
1,.,",",O,O,,4
0,ADV,demasiado,O,O,,4
0,ADJ,distante,O,O,,4
0,ADP,do,O,O,,4
0,NOUN,foco,O,O,,4
0,ADV,onde,O,O,,4
0,VERB,surgiram,O,O,,4
0,DET,estes,O,O,,4
0,NOUN,pensamentos,O,O,,4
1,.,.,O,O,,4
4,DET,A,O,O,,5
0,NOUN,imprensa,O,O,,5
1,.,",",O,O,,5
0,VERB,inventada,O,O,,5
0,ADP,na,O,O,,5
3,PNOUN,Alemanha,B,S,LOCAL,5
0,ADP,por,O,O,,5
3,PNOUN,John,B,B,PESSOA,5
3,PNOUN,Gutenberg,I,E,PESSOA,5
1,.,",",O,O,,5
0,VERB,foi,O,O,,5
0,ADJ,importante,O,O,,5
0,ADP,na,O,O,,5
0,NOUN,divulgação,O,O,,5
0,ADP,destas,O,O,,5
0,NOUN,ideias,O,O,,5
1,.,.,O,O,,5
3,DET,As,O,O,,6
2,NUM,95,B,B,OBRA,6
3,PNOUN,Teses,I,I,OBRA,6
0,ADP,de,I,I,OBRA,6
3,PNOUN,Martinho,I,I,OBRA,6
3,PNOUN,Lutero,I,E,OBRA,6
0,VERB,foram,O,O,,6
0,ADV,imediatamente,O,O,,6
0,ADJ,impressas,O,O,,6
0,CONJ,e,O,O,,6
0,VERB,divulgadas,O,O,,6
0,ADP,por,O,O,,6
0,DET,todas,O,O,,6
0,DET,as,O,O,,6
0,NOUN,regiões,O,O,,6
0,ADP,de,O,O,,6
0,NOUN,língua,O,O,,6
0,ADJ,alemã,O,O,,6
1,.,",",O,O,,6
0,DET,o,O,O,,6
0,PRON,que,O,O,,6
0,VERB,contribuiu,O,O,,6
0,ADP,para,O,O,,6
0,DET,a,O,O,,6
0,ADJ,crescente,O,O,,6
0,NOUN,popularidade,O,O,,6
0,ADP,de,O,O,,6
3,PNOUN,Martinho,B,B,PESSOA,6
3,PNOUN,Lutero,I,E,PESSOA,6
1,.,.,O,O,,6
3,ADV,Não,O,O,,7
0,ADV,menos,O,O,,7
0,ADJ,relevante,O,O,,7
0,VERB,foi,O,O,,7
0,DET,a,O,O,,7
0,NOUN,influência,O,O,,7
0,ADP,da,O,O,,7
0,NOUN,pressão,O,O,,7
0,ADJ,social,O,O,,7
0,VERB,exercida,O,O,,7
0,ADP,pela,O,O,,7
3,NOUN,Contra-Reforma,B,S,ABSTRACCAO,7
1,.,",",O,O,,7
0,ADP,na,O,O,,7
0,PRON,qual,O,O,,7
0,DET,os,O,O,,7
3,NOUN,Jesuítas,B,S,PESSOA,7
0,VERB,tiveram,O,O,,7
0,DET,um,O,O,,7
0,NOUN,papel,O,O,,7
0,ADP,de,O,O,,7
0,NOUN,liderança,O,O,,7
1,.,.,O,O,,7
4,DET,A,O,O,,8
3,PNOUN,Inquisição,B,S,ORGANIZACAO,8
0,CONJ,e,O,O,,8
0,DET,a,O,O,,8
0,NOUN,censura,O,O,,8
0,VERB,exercida,O,O,,8
0,ADP,pela,O,O,,8
3,PNOUN,Igreja,B,B,ORGANIZACAO,8
3,PNOUN,Católica,I,E,ORGANIZACAO,8
0,AUX,foram,O,O,,8
0,ADV,igualmente,O,O,,8
0,VERB,determinantes,O,O,,8
0,ADP,para,O,O,,8
